Date,Value,MovingAvg,RMA,RMA_Pred,PercAvg_Pred,ES-0.3,ES-0.6,ES-0.9,MonteCarlo_Pred,ARIMA-OPT,SARIMA-OPT,ARIMA-UNOPT,SARIMA-UNOPT,LINREG,SVR-UNOPT,SVR-OPT
2015-08-01,399.11,399.98,99.74238236954075,398.12950561002367,405.0451296499148,401.1382574097863,400.32340312610324,399.3611826601917,399.5844787198701,399.08752700132925,399.34805763362436,400.5129834988595,399.38814662747507,402.0275476041389,407.02456103846197,401.7765628764495
2015-09-01,397.82,400.1408333333333,99.37281040472777,396.7855459048432,403.7083646468646,400.1427801868504,398.8213612504413,397.97411826601916,398.40456805955887,397.6013664233201,397.6935627938239,397.34478070459187,397.7932149325455,402.2365611543129,407.02237071317205,401.99497577304396
2015-10-01,398.49,400.33083333333326,99.49191685912243,397.03246571903844,403.9837182360216,399.6469461307953,398.62254450017656,398.4384118266019,398.7071693310771,397.84912551094027,397.9763929886467,397.27174839099007,398.05928042465956,402.43883233190064,407.02214895068914,402.20734347108436
2015-11-01,400.27,400.52500000000003,99.8766938993631,398.5907327703219,405.5725017783003,399.83386229155667,399.6110178000706,400.0868411826602,400.1959865980948,399.69120045116955,399.9335923832292,399.2697175666332,399.7815231164316,402.64784588207465,407.0221489475227,402.42779697221033
2015-12-01,402.06,400.76416666666665,100.26121380256228,400.02830425280916,407.01794144244633,400.50170360408964,401.0804071200282,401.862684118266,401.9190298036451,401.668008671626,401.7298377571549,401.5859772070309,401.50413033971984,402.8501170596624,407.02236836582154,402.64208488223557
2016-01-01,402.73,401.01250000000005,100.37510125241451,401.2771677946026,407.03744287702943,401.17019252286275,402.0701628480113,402.6432684118266,403.01039157384224,402.9971319697066,403.23383064535926,403.20367766502744,402.93259095530874,403.0591306098364,407.0243203423494,402.86446014883825
2016-02-01,404.25,401.2250000000001,100.67657313631082,402.0951665628512,407.90250651366676,402.0941347660039,403.3780651392045,404.08932684118264,403.322775730407,403.2995840087797,403.53870352048676,402.9381079039819,403.49995266968165,403.2681441600104,407.02169770314464,403.0877587362342
2016-03-01,405.06,401.5333333333333,100.80883999900452,402.93477843800684,408.65756205778365,402.98389433620275,404.3872260556818,404.9629326841183,404.26928680816485,405.0222933611129,405.0869778111024,405.528393617859,404.9110330280107,403.46367296501194,407.0566666989937,403.2974513301272
2016-04-01,407.6,401.81,101.35164536870309,404.4863375575653,410.14767167465,404.36872603534187,406.31489042227275,407.33629326841185,405.92559655547007,406.03472477948014,406.45072687730374,405.34681734261136,406.2545612622883,403.67268651518594,407.16155469394204,403.52242012106774
2016-05-01,407.9,402.1641666666667,101.34749012365107,405.36852279240827,409.56412874750805,405.4281082247393,407.2659561689091,407.8436293268412,406.98729415554277,408.198401833099,408.19600262821893,409.7568519350113,407.79584372783006,403.8749576927737,407.19544980636715,403.7408907123953
2016-06-01,406.99,402.47666666666663,101.03729203473917,404.8737944001717,408.94341641940844,405.89667575731744,407.10038246756363,407.07536293268413,405.62318726725385,407.1820181135543,407.1969307493925,407.43750973796637,406.8334279413585,404.0839712429477,407.1593988056948,403.96737984213456
2016-07-01,404.59,402.81166666666655,100.3764831388894,403.2196671152373,407.1246159564055,405.50467303012215,405.59415298702544,404.83853629326836,404.2560231805374,404.90089552928896,405.2444567857714,406.3388034941089,405.2912371302506,404.2862424205354,407.0620458070337,404.1872266316055
2016-08-01,402.45,403.0725,99.77666258282183,401.2076982599037,405.0451296499148,404.5882711210854,403.70766119481016,402.6888536293268,401.7650264306004,402.11282379549186,402.62625634689147,402.6804742391573,402.7138046016894,404.4952559707094,407.0263747175354,404.4150338803367
2016-09-01,401.23,403.35083333333336,99.40416465370943,399.9686292001527,403.7083646468646,403.58078978475976,402.2210644779241,401.3758853629327,400.5021865275307,400.9656434237312,400.8795870987955,401.196293344089,401.21734303923614,404.7042695208835,407.0223815193949,404.6434264247141
2016-10-01,401.79,403.63499999999993,99.47513059840065,400.30940901089076,403.9837182360216,403.04355284933183,401.96242579116966,401.7485885362933,401.38096612142505,401.3724303340724,401.5993678565105,400.5710477261793,401.568392220469,404.9065406984712,407.0221597569124,404.8649516835568
